epoch,type,loss,accuracy,precision,recall,f1,wer
0,train,2.597714494690443,0.4623141488896039,0.8575454472904055,0.19591693244725686,0.2447534324191265,81.88845467229372
0,val,2.6207883321132854,0.4649673423165793,0.8563228796332276,0.18863042339340308,0.23169281140725215,85.17504587092888
1,train,1.7919278592735932,0.5638218655697501,0.08366607309893788,0.12553351255748998,0.09049424555624092,109.40443559818742
1,val,1.7865531435332347,0.5630462011850564,0.08497076051497629,0.12711227835381333,0.09180449380128893,105.86307836984732
2,train,1.5383692325160705,0.6011113019506213,0.10622898051704895,0.1338359112689155,0.10986265248012844,109.41760454317745
2,val,1.540741535038063,0.6017650019445906,0.10897248600408951,0.1358533638443345,0.11218558482745142,105.87779055648028
3,train,1.4379595321735823,0.6227546765342772,0.09800841903049733,0.13865475388747603,0.10182635178235089,109.4040203295266
3,val,1.4610722756262906,0.6217699778087895,0.0994106981886567,0.14036965052766406,0.10319760219651695,105.86447478540065
4,train,1.3254099156993346,0.65595169248073,0.13285155362449,0.14604598553822815,0.13347488131409543,109.41318372694369
4,val,1.331733828660139,0.6538128274347418,0.13421778555038402,0.14760358552683608,0.1347231819334496,105.87612106909184
5,train,1.2479705641455685,0.6784255812874854,0.14435446782006245,0.1510497400483296,0.1436999453030265,109.41157575713511
5,val,1.2564464861277453,0.6738878657546156,0.1452058653502343,0.15213568938173905,0.1444368128547814,105.87426630336577
6,train,1.1995500854758736,0.6934523809523809,0.9262484781672555,0.1545171203845393,0.14820322359768967,109.34191747349104
6,val,1.2193036638584334,0.6880333325707488,0.9236075679606113,0.15537853235370166,0.14858487030257866,105.84027482283045
7,train,1.1054844997395707,0.7163339174471761,0.1515503181358346,0.15948993523041477,0.15233635128920056,109.37448536761657
7,val,1.158274870941934,0.7072962183432088,0.1518573464325553,0.15967789782688202,0.15232247950592057,105.84160824184289
8,train,1.0592764157544867,0.7311895050830949,0.9343093259220265,0.1636593272700466,0.16007215400372618,108.92465844576779
8,val,1.1058121847430455,0.7208711765917046,0.9312650614603866,0.16379359043015929,0.1603078698591461,105.17538879545616
9,train,1.0231779420149087,0.7393460823788942,0.15827456016968444,0.1646135355585285,0.15975527650207755,109.35640514394855
9,val,1.0895686019019983,0.726145878611791,0.15774921822539106,0.16393336257896077,0.1589682494616778,105.8279218878394
10,train,0.9892940065654765,0.7473370641249742,0.9358478089539229,0.16702202908126745,0.16190030451320245,109.26338338599653
10,val,1.0486894385101868,0.7329390771201757,0.9323016888572797,0.1664921935802297,0.1618382954884291,105.57420972529629
11,train,0.9654451331867087,0.7541772111535306,0.9343930634143871,0.16917566367495845,0.16283134111574743,109.17875148497384
11,val,1.0401772283708925,0.7371299558463544,0.9303477132899218,0.16796770972843209,0.16211051242870486,105.33348908238179
12,train,0.9288805743750259,0.7635714068302185,0.935102192548443,0.1705580656215353,0.16325710066551571,109.3016528341883
12,val,1.0074928780038332,0.7449083182722884,0.9309106064535632,0.16885024334234267,0.16187817251989664,105.64082094173375
13,train,0.9152753601663732,0.7673324549884482,0.9314614154167595,0.1806797327248667,0.17948700727300063,108.36451658743331
13,val,1.0106855137753732,0.746198039395118,0.9272384191599347,0.1794474254970869,0.17993204239966792,104.32301182133597
14,train,0.8891810753474614,0.7722543025854647,0.9343433302429476,0.18509006689542656,0.1883367737712646,105.66914587222143
14,val,0.9881975075479635,0.7498498661664112,0.9297275927349172,0.1847439183782299,0.19067637008299892,101.02057404051804
15,train,0.8836932851134923,0.7761323909243493,0.9362181775479258,0.2121502118681244,0.2391489275842515,104.63978923883951
15,val,0.9933286925259325,0.7517072361648097,0.9311306914845769,0.21006236807591208,0.2384020944039655,99.68051464417792
16,train,0.8752680929734352,0.7777812805282824,0.9371748049170024,0.25540882409711746,0.3135753647648543,93.6084840929691
16,val,0.9842777092432239,0.7527724714602732,0.9319190299799732,0.25310508831953527,0.31239991171271786,88.01011851134325
17,train,0.8754895053453249,0.7784918557427232,0.9362395736752152,0.30283953104827577,0.38643394888393656,83.02078525905833
17,val,0.9863167693934489,0.7521061632083458,0.9308659235627447,0.3004636368067519,0.38518750810297364,77.39897658022139
18,train,0.8796030735773551,0.777639781486345,0.9360731072279849,0.3311233861304383,0.42672605053536855,75.46736512573784
18,val,1.0025916348413093,0.7506219830248679,0.9305689331283865,0.3279784137571948,0.42433269970883297,70.27799811655481
19,train,0.8774751806685727,0.7771486113164447,0.9360477487570557,0.32436200052561126,0.4174529818017594,77.65975208426399
19,val,0.9955525813028985,0.7498813227791631,0.9304780427648516,0.32152210256047725,0.4155265076439912,72.35290985278881
+,test,1.0202232495564776,0.7458965861564956,0.9300247087891359,0.3216661714889237,0.41684849456391376,69.54128413109369
