epoch,type,loss,accuracy,precision,recall,f1
0,train,2.8572339599515186,0.8677341728146767,0.8761686585304382,0.8677341728146767,0.867683991074315
0,val,2.81744535668691,0.8645558108174931,0.8737683756414474,0.8645558108174931,0.864552023837648
1,train,2.3419385721256307,0.8454997919417707,0.8751893658019232,0.8454997919417707,0.8526535184408592
1,val,2.294751748085022,0.8419574447611831,0.8718219183430198,0.8419574447611831,0.8492719429497413
2,train,2.1057183310553595,0.5705949964313192,0.8643723436806665,0.5705949964313192,0.660535672801764
2,val,2.063608678817749,0.5577459969983335,0.8607497957520173,0.5577459969983335,0.6477566867728292
3,train,1.9509903317218547,0.12207452300886855,0.08530715191530544,0.12207452300886855,0.08650973941846019
3,val,1.9056377375920615,0.12693300777412928,0.08863786494497869,0.12693300777412928,0.08998206275376006
4,train,1.83931282370497,0.12550220196003128,0.08985159245395574,0.12550220196003128,0.09233466591430775
4,val,1.8083575245539347,0.13045989915148792,0.09364342570326703,0.13045989915148792,0.09614744802814722
5,train,1.7701347148494002,0.12849121750431503,0.09221296192654828,0.12849121750431503,0.09537922457455998
5,val,1.7382970779736837,0.13365434860761963,0.09586410885953899,0.13365434860761963,0.09915725038929449
6,train,1.7294026523142367,0.12964737491307943,0.09816826474634911,0.12964737491307943,0.10039875809932133
6,val,1.689775779724121,0.13452671630241725,0.10208266470550545,0.13452671630241725,0.10417682567255705
7,train,1.6853566699358953,0.13171822861486665,0.09636787774310723,0.13171822861486665,0.10050057180041452
7,val,1.6491980134646098,0.1367873213667606,0.10016499254630576,0.1367873213667606,0.10440492440891744
8,train,1.6574685389215167,0.13232123422329478,0.09985724118355596,0.13232123422329478,0.1029139114841769
8,val,1.6310986309051514,0.13729316766699945,0.10362838850221097,0.13729316766699945,0.1067358268451026
9,train,1.643177011031328,0.13315947965985506,0.09972321862081036,0.13315947965985506,0.1030411175198965
9,val,1.6101195413271585,0.13819092791055407,0.10343067372590088,0.13819092791055407,0.10687353123228326
10,train,1.6225719765937443,0.1331153043424671,0.10381683256921825,0.1331153043424671,0.1054885510449512
10,val,1.5920344179471333,0.13802420578121513,0.10772281533463754,0.13802420578121513,0.10929578643123554
11,train,1.6029786639783157,0.13457822551006834,0.10253049729454089,0.13457822551006834,0.1059095171525239
11,val,1.5688785351117451,0.13969209529957194,0.10641415641471454,0.13969209529957194,0.10988059872913983
12,train,1.6186954845457742,0.13390970849050435,0.10592773375412894,0.13390970849050435,0.10689313044019422
12,val,1.6067268381118773,0.13901819042005958,0.11002531735345356,0.13901819042005958,0.11095230527182753
13,train,1.586856965645576,0.13496962383255867,0.8826347769133753,0.13496962383255867,0.10859020194134117
13,val,1.5552981346448262,0.13988354175270062,0.8800268174809124,0.13988354175270062,0.11247148934648707
14,train,1.5839648615092805,0.13514348585675856,0.8830886983791822,0.13514348585675856,0.10892607241450424
14,val,1.5805696816444397,0.13996005351145538,0.11083054653508466,0.13996005351145538,0.11259962157404531
15,train,1.5960452334062234,0.1355448632915889,0.10652841410364476,0.1355448632915889,0.10901907701806308
15,val,1.5781876327196758,0.14052470360881575,0.11046735063765036,0.14052470360881575,0.11312948619517575
16,train,1.6047012899015043,0.13420010483495926,0.1101236592802906,0.13420010483495926,0.10952412391884761
16,val,1.5766531732877096,0.13910973724057837,0.11412030068579368,0.13910973724057837,0.11346927171208142
17,train,1.5978883885128083,0.13435830925611522,0.10957454408373363,0.13435830925611522,0.10959377009913883
17,val,1.5755099878311156,0.13931454819305286,0.11335697071518605,0.13931454819305286,0.11345605511256288
18,train,1.6063140044221889,0.1346090396728588,0.8830987151559327,0.1346090396728588,0.10856420381798841
18,val,1.5896407944361368,0.13923903877174906,0.110606867540898,0.13923903877174906,0.11201166989929474
19,train,1.6271742036392738,0.1338310446928116,0.10756670748409161,0.1338310446928116,0.10851669126365472
19,val,1.5974665651321411,0.13870947048517143,0.11152627262251634,0.13870947048517143,0.11237875563052525
+,test,1.666689565340678,0.12924365325966394,0.10397730242874687,0.12924365325966394,0.1047016634964763
