epoch,type,loss,accuracy,precision,recall,f1,wer
0,train,2.5504301971280077,0.4504756724700049,0.8806299786991652,0.8750842478420258,0.8735763122999518,0.42722570789777564
0,val,2.5732219739565774,0.44500669039901924,0.8781404231057854,0.8729916525740191,0.8714328806310487,0.4271875815883794
1,train,1.8605363831723898,0.5493676275681408,0.09268909982778613,0.12284744249614377,0.09396467924503371,109.94578123174733
1,val,1.8967525041292583,0.5416346407764698,0.09232107821958775,0.12181223318114269,0.09346887083058698,106.17198964278933
2,train,1.6317159748377588,0.5874008409131918,0.11139605437124342,0.1313522810685079,0.10673985237835455,109.96042684873572
2,val,1.6719237953897506,0.5803710921652255,0.10995489943341535,0.13052396115041126,0.10566192522412901,106.18914342203571
3,train,1.4828795702786064,0.6171144916681054,0.8904216457747982,0.1382757711106027,0.11621259853168102,109.73957126430135
3,val,1.526117622536957,0.609376590537253,0.8884820836389906,0.13731497490198186,0.11548057859402346,106.17489731547947
4,train,1.3793824405129813,0.6444501973214135,0.11243249385955241,0.1441094352565416,0.11897597587764272,109.9425094297905
4,val,1.4063188168737624,0.6367799338188974,0.11160394789222558,0.14321016409183462,0.11794359953313768,106.17002571966245
5,train,1.2702156298993201,0.6745391862098099,0.897582454921789,0.15087339711392075,0.12528705029711476,109.91588653188
5,val,1.3006552091982,0.6662132636607326,0.8958351820507321,0.14989666497787146,0.1248231442051211,106.1457425447551
6,train,1.2030253663530723,0.6937454091083661,0.9052948169664045,0.1551346283936698,0.1371945093234665,109.90694885509576
6,val,1.2311277745892761,0.6838635247116932,0.12794460611592862,0.1537991421982141,0.13592378726970328,106.13813459769229
7,train,1.155149394901799,0.7083051536113963,0.9158935125449,0.158397222360104,0.143802615720884,109.90537761701216
7,val,1.1955411218934588,0.6970908935334011,0.13838659703078832,0.15677394331686675,0.14222975654342251,106.13848197279471
8,train,1.139255217837529,0.7164950910259879,0.9215157621954735,0.16028058382754104,0.14861562674478737,109.90422247483816
8,val,1.183232809264193,0.7053922993285997,0.9190065926729407,0.1586900125183188,0.14719534724766453,106.1369542863404
9,train,1.1010223507012178,0.7227163576772133,0.14222783046069462,0.16161100824922855,0.14659007653153255,109.90362506689878
9,val,1.1423043435212796,0.7108655915802766,0.14110476103342745,0.1598718373660369,0.14503914556082975,106.13842106819301
10,train,1.0864463410308773,0.7299512598213324,0.918605469590803,0.1632828818710587,0.14829981183662902,109.902017999679
10,val,1.1332309818457043,0.7166236130515153,0.9156027391164497,0.16120130737300112,0.1462924722802837,106.13762439423203
11,train,1.060419029574113,0.7374873226021985,0.9209336464762278,0.16496105866005198,0.15135951620360275,109.89755114335333
11,val,1.1062664170429188,0.7240014929843015,0.918107058941092,0.1629421931046061,0.1496334708110889,106.13185626362139
12,train,1.0320122962641036,0.742643214956557,0.9212347332403882,0.16608190277356358,0.15163271652219718,109.89754270551086
12,val,1.0920198514821038,0.7273164492348455,0.14285526573400495,0.16357159280593156,0.14923254431334715,106.13377478808584
13,train,1.0090036355872436,0.7490297119817613,0.9237866323370186,0.1678766052186658,0.15482738684294153,109.88042351710672
13,val,1.0680974513765364,0.734405174105279,0.9204975242562284,0.16566317726410534,0.15284487609454106,106.11607746589067
14,train,0.9873401556605926,0.7534269539882551,0.9257949275503718,0.1685763397101895,0.15646207612924168,109.88178500487908
14,val,1.0408069510308524,0.7383353225037877,0.922299290216301,0.16623086460673467,0.15424904900329245,106.11818452035443
15,train,0.9830091957760774,0.7551842188859245,0.9257579914916914,0.16920180464652065,0.15666584966737493,109.87787556564109
15,val,1.0587586903225177,0.7391201719587452,0.9222665553254942,0.16666417826510635,0.15441579867757682,106.11508984361123
16,train,0.9820247317798253,0.756979314306929,0.9276285074489375,0.16992032423491887,0.15887109646952705,109.8781189005448
16,val,1.0417270237806613,0.7404331719867756,0.9240406272792117,0.16727035288520206,0.15650287152687684,106.11516307538517
17,train,0.9845079762887055,0.7576940144879778,0.9264387164349046,0.1700186868172286,0.15840593170960196,109.8771700823161
17,val,1.0429976826937741,0.7407060989588943,0.9226889391427441,0.16718674259277508,0.15577808106820515,106.11481058804658
18,train,0.9829026724010054,0.7572443134140174,0.9270020327284307,0.16996481961890636,0.15862396792978292,109.87839997349026
18,val,1.0570208226089124,0.7401263135532584,0.9232975841899387,0.16709682834972858,0.15596302334503706,106.11623789232168
19,train,0.9927353882548665,0.7567436153110513,0.927132326919325,0.1699128599580151,0.1586744992745011,109.8787432250819
19,val,1.0562549553535603,0.7396084899466981,0.9234074346261618,0.1669949697791925,0.1559272631816206,106.11696980894854
+,test,1.0799080254066558,0.7341911142795002,0.9231427521560759,0.1617830554212264,0.15035546268585526,98.05406047082289
