epoch,type,loss,accuracy,precision,recall,f1,wer
0,train,2.534703767968331,0.4778328434314007,0.8580756173360027,0.1585759444715721,0.17564181371250867,79.65960890525032
0,val,2.552985081045898,0.47690941639404266,0.8560693881755806,0.15667069843142079,0.17132355155573267,79.86675108029742
1,train,1.811280958215165,0.5630201584499387,0.09535158967196396,0.12535501449464778,0.09410949455115798,109.39845736111424
1,val,1.8016663566999829,0.5630233236485095,0.09701714979097811,0.1271071135630955,0.09565707416156957,105.85581005833805
2,train,1.5753448303094761,0.5971234205010915,0.10682163322681432,0.13294801954886581,0.1078010301140924,109.42527554616473
2,val,1.5743570794764252,0.5988280981903868,0.10926468487519293,0.13519033383593204,0.1101265647908211,105.88443458285872
3,train,1.4755526918660895,0.6130606333359423,0.11519159531412038,0.13649639968398783,0.11518053576361027,109.42236547413374
3,val,1.4955369272490138,0.6126475601107273,0.11617346584398908,0.13831019022892613,0.11621323642997144,105.88240348161203
4,train,1.3155331767274057,0.6556264802140495,0.9100493621458798,0.14597559477672312,0.13401836756577953,109.40513220401044
4,val,1.3239941644607132,0.6529534899682002,0.1338405536517075,0.14740958307549729,0.13516673448145322,105.8683070247138
5,train,1.2078376272891431,0.68766613907997,0.14381830745234053,0.1531071268729943,0.14531808712707012,109.39503376003171
5,val,1.2181853198820782,0.6839868682940221,0.14433524323296432,0.15441562168424472,0.146200474299421,105.85635376896654
6,train,1.1229787046566537,0.7120911203100586,0.9278626440460451,0.15993591818697603,0.15472810538247864,108.98084547375562
6,val,1.145102152504872,0.7058420649264487,0.9252694477314376,0.16129189492620644,0.15626055857556426,105.02024078578667
7,train,1.0283432845182376,0.7344523171781648,0.9370296707905528,0.1910956695159798,0.2135463917562545,104.86407133621111
7,val,1.0810792784869057,0.727823088009883,0.9348315547814368,0.18989805671521248,0.21057423896477506,102.08016807555299
8,train,0.9453324090658196,0.7547285320045106,0.938892785032765,0.18699388487822902,0.2007109216223708,105.12357981656258
8,val,0.9954568310496733,0.7464168058383474,0.936211988231654,0.18660582543201054,0.19945193837812178,101.64468443369715
9,train,0.8826479808235845,0.7686410946554308,0.9421914830243459,0.1725472803046851,0.16983224615342407,109.32744167214425
9,val,0.9505785293493074,0.7567574523575301,0.938836665996838,0.1721111630818177,0.16923189241993997,105.7973629776093
10,train,0.8382942236811018,0.7796995799598222,0.945521474225456,0.22735663328046968,0.2705104181962113,107.99875585483592
10,val,0.902798821554356,0.7663259820182563,0.9422281108526529,0.22543891844117578,0.26777608832330074,103.85602160900359
11,train,0.7694815962757318,0.7944662098113733,0.9448608413183607,0.27249627221418476,0.3413312076900933,104.89782452378006
11,val,0.8525254478313259,0.7772986204845462,0.941211261717684,0.26808104460474663,0.3354182544440344,100.67558984118864
12,train,0.7192980947896482,0.8050460261416309,0.9492616792301963,0.3028154085982013,0.3882134762240108,104.8722859859302
12,val,0.8158063622018725,0.7853729610395552,0.9448957552373839,0.2971914190875816,0.38095416082286715,101.54863373176113
13,train,0.6702847663363589,0.815688891980972,0.9550248129517853,0.5534640019830429,0.6821806508572548,74.06872012427915
13,val,0.7874686282473741,0.7934330031342225,0.9499565250597972,0.5494346329560776,0.6778582832792165,70.1699672222237
14,train,0.6241898268490049,0.8257699287178194,0.9568239813839053,0.8026242644014153,0.8702565679314147,30.070869302830413
14,val,0.7527902342916764,0.7999788382786942,0.9510437953960641,0.7967780744304447,0.864415966692975,28.290631845288576
15,train,0.5818209417793614,0.8349240652004395,0.9604894146692972,0.9035213734790604,0.9305781913532429,10.224977011111626
15,val,0.7413545472105754,0.8046043901992633,0.9535634825259032,0.8968439577920391,0.9237385665873196,8.117826694784346
16,train,0.5418624128740422,0.84443348929028,0.9636178180395395,0.9409262980490061,0.9519409433070836,4.2661793647308865
16,val,0.7160418870445994,0.8094244011804809,0.9556733490527497,0.9314196492526063,0.9431599593087393,3.270292114333253
17,train,0.5156261956908871,0.8513899517924903,0.9656026303769707,0.9565207359283523,0.9609319144790497,1.5438032524639052
17,val,0.7107960301806632,0.811796515751184,0.9567368220269629,0.9455937717788734,0.9509872071269334,1.6025422503335673
18,train,0.503244493764343,0.8550803410181264,0.9665230573319229,0.9602941648075639,0.9633152204093476,1.0932270737205403
18,val,0.7227024416794482,0.8122640754043604,0.9569345575951901,0.9488992378382898,0.9527799691660797,1.2177406952775942
19,train,0.4983777282057002,0.855633654813359,0.966708443269165,0.9606492246830752,0.9635924570851082,1.0636389340959824
19,val,0.7199359059564232,0.8120495984992336,0.9570165772122592,0.9491468249933261,0.9529499808563584,1.183561336669584
+,test,0.7413642673762804,0.808234323671148,0.9565916400408684,0.9475969685444388,0.9519556632436302,1.481541154835957
