epoch,type,loss,accuracy,precision,recall,f1
0,train,2.945872763562095,0.09776901624574404,0.8494643818601951,0.09776901624574404,0.07613959768996431
0,val,2.973221683932334,0.10015820399567578,0.8472763048336988,0.10015820399567578,0.07944933287621549
1,train,2.359474196770666,0.4652653862809011,0.8574563511363793,0.4652653862809011,0.5671397880970286
1,val,2.3721934363399586,0.46216096780430865,0.8563876553588954,0.46216096780430865,0.5639304740703432
2,train,2.072290754333609,0.2678164765611874,0.8513985904032498,0.2678164765611874,0.32898055513038543
2,val,2.095111692074648,0.2655929066764281,0.8486066955724608,0.2655929066764281,0.32482121879167497
3,train,1.8986271050459027,0.13548700826556961,0.8498318229140228,0.13548700826556961,0.10524091284646896
3,val,1.9247185289859772,0.13864977521862398,0.8477740285196659,0.13864977521862398,0.11033180759932838
4,train,1.7874303784276653,0.1356911213046615,0.8476530031247771,0.1356911213046615,0.09717560914968093
4,val,1.7844973899347265,0.13598990799893734,0.8456648073624083,0.13598990799893734,0.09604349826596031
5,train,1.7044288513354529,0.13456595826130383,0.8565219365617456,0.13456595826130383,0.10087602224880948
5,val,1.6985886038578664,0.13438979127466713,0.8550374608862615,0.13438979127466713,0.09905602679702652
6,train,1.6609199690595893,0.13409423931285708,0.8617122061148018,0.13409423931285708,0.10129948457748306
6,val,1.6557273789472187,0.13412380455269846,0.860434831429727,0.13412380455269846,0.09970936152268003
7,train,1.595201912212956,0.134740785516526,0.8668250105527884,0.134740785516526,0.10325969536289394
7,val,1.615757966778942,0.13585239544607491,0.8656805697284033,0.13585239544607491,0.10382411359321345
8,train,1.5578159064073704,0.13605711292594228,0.8717414978822137,0.13605711292594228,0.1071180454966175
8,val,1.5637866137261243,0.13692376672060644,0.870225559436791,0.13692376672060644,0.10700512208895455
9,train,1.518926746994353,0.14181729583704195,0.8745692313968637,0.14181729583704195,0.11913294676616601
9,val,1.5312070608446278,0.14289878398230543,0.873275621674174,0.14289878398230543,0.11942978122575877
10,train,1.4988137898830964,0.14433663968219682,0.878136348069115,0.14433663968219682,0.12468651315302871
10,val,1.4968822655296816,0.14629850747232237,0.8768319692751397,0.14629850747232237,0.12644212764719753
11,train,1.4672678620641575,0.16366517635911149,0.8876860172432017,0.16366517635911149,0.16899694167032567
11,val,1.4742603142236925,0.16589791984825844,0.8860851166577307,0.16589791984825844,0.17115337826503724
12,train,1.4385571666950567,0.19253071326414062,0.889277089854341,0.19253071326414062,0.22084472139188102
12,val,1.4398395368426116,0.19227644284077694,0.8877769344075146,0.19227644284077694,0.21870524226402474
13,train,1.4171538574514198,0.2067236287264496,0.889379801083185,0.2067236287264496,0.24374180442632487
13,val,1.4322762618359832,0.20773821225288494,0.8878264916507305,0.20773821225288494,0.2439241936531998
14,train,1.3977775448737493,0.28496487622016536,0.8925777007307443,0.28496487622016536,0.36655461553482693
14,val,1.4099503689512765,0.2877579288414503,0.8909319768387655,0.2877579288414503,0.36916515867105526
15,train,1.3823252251788465,0.33511863667011765,0.8957039303438892,0.33511863667011765,0.43611186693730464
15,val,1.4004037355639272,0.33633343114155756,0.8940269759946498,0.33633343114155756,0.43657290005118266
16,train,1.3642330924055024,0.4800816129448005,0.8981595757100536,0.4800816129448005,0.5993671617239494
16,val,1.3756649564836443,0.4732894778041505,0.8964779561905517,0.4732894778041505,0.5919430337844171
17,train,1.359475122564151,0.5597442294198288,0.8992084571277663,0.5597442294198288,0.6720485535416074
17,val,1.3714983604617954,0.5479416856392025,0.8970892090922847,0.5479416856392025,0.661185378361374
18,train,1.3281093033800426,0.7608407924345865,0.9086542044245547,0.7608407924345865,0.823771808433344
18,val,1.3494710230950229,0.7464007057686516,0.9068523734008717,0.7464007057686516,0.8138399219716287
19,train,1.3197560899877148,0.8247065925486236,0.9081353061689336,0.8247065925486236,0.8617863358481964
19,val,1.3361006073423267,0.8153764858053797,0.9056874720706839,0.8153764858053797,0.855215449356469
+,test,1.358485806848585,0.8252051600424143,0.9069149798873345,0.8252051600424143,0.8614888147914549
