epoch,type,loss,accuracy,precision,recall,f1
0,train,2.98964160278385,0.09338784545636651,0.8510403080877141,0.09338784545636651,0.07010941996244323
0,val,2.9943452382341342,0.09324727255532313,0.8486985647204421,0.09324727255532313,0.06985980389316546
1,train,2.391144647366746,0.24528449284176695,0.8592056253519332,0.24528449284176695,0.31423478031831065
1,val,2.409127879015943,0.24464018243126692,0.8574757878177625,0.24464018243126692,0.31439088726831427
2,train,2.1037916121865017,0.23913444024873903,0.8549853921603687,0.23913444024873903,0.29166600213747357
2,val,2.1279394154218916,0.23567113354205835,0.8529509885832283,0.23567113354205835,0.2870716901595363
3,train,1.9358702563034327,0.12520070692288063,0.8543773218478721,0.12520070692288063,0.08975646958579778
3,val,1.9629254347466407,0.12342948404159315,0.8527235442643236,0.12342948404159315,0.08719493167928956
4,train,1.8411504879004146,0.12525385557691907,0.8643737374089469,0.12525385557691907,0.09172880214697574
4,val,1.847988874512784,0.12499991674975042,0.8620717236941822,0.12499991674975042,0.09189999943678483
5,train,1.7648955170879104,0.127654576534041,0.8679092399955743,0.127654576534041,0.09697563801734538
5,val,1.776621328072345,0.12721603839368312,0.8658718398052903,0.12721603839368312,0.09713288620150291
6,train,1.7075020386643849,0.12901708827034178,0.875000693751757,0.12901708827034178,0.10367407385652887
6,val,1.7336290401030094,0.1286076495657334,0.8732596332934758,0.1286076495657334,0.10416282120704695
7,train,1.681628257125408,0.1301959728636374,0.09454760123443297,0.1301959728636374,0.10308440202357676
7,val,1.703416514111326,0.12972986293012906,0.09485057911238148,0.12972986293012906,0.10333180035208618
8,train,1.6431682147296276,0.13130069073688883,0.8823484424819426,0.13130069073688883,0.11132540719690501
8,val,1.6772431504536183,0.13086239932547317,0.10484721414081882,0.13086239932547317,0.11137046164977328
9,train,1.6178551997343964,0.13235396637334187,0.10754215797526194,0.13235396637334187,0.11418745806520465
9,val,1.6444014672269212,0.1320049257507674,0.107743443051826,0.1320049257507674,0.11426041602877791
10,train,1.60650163603495,0.13322244950867462,0.886403520496884,0.13322244950867462,0.11516647838851658
10,val,1.6426046644436552,0.13232660471516094,0.884072684952991,0.13232660471516094,0.11472470760035919
11,train,1.5998627474667189,0.1332907478182103,0.8878535115645068,0.1332907478182103,0.11592051532915622
11,val,1.6272373132883233,0.13244881608155062,0.1098528481716874,0.13244881608155062,0.11539710149911295
12,train,1.578219741335096,0.13435925635002596,0.8889088277945018,0.13435925635002596,0.11744071445136298
12,val,1.6080470181843067,0.1340572109035183,0.8867089112758461,0.1340572109035183,0.11831235494674612
13,train,1.5840312017528646,0.13454671252683809,0.8884234076943093,0.13454671252683809,0.11724610368563496
13,val,1.611853261101753,0.13423003842165518,0.8860368377532458,0.13423003842165518,0.11776578850056851
14,train,1.5848896990275914,0.13442946917646514,0.8892288033765672,0.13442946917646514,0.11774295409298266
14,val,1.6186406886641016,0.13362963762165359,0.8869042663975159,0.13362963762165359,0.1177106407283718
15,train,1.5845249460748076,0.13519602509665293,0.8867146503949471,0.13519602509665293,0.11715258466153819
15,val,1.622178666452144,0.1345830194798924,0.884962213766211,0.1345830194798924,0.11781409259351781
16,train,1.5812294779324951,0.13848653859464222,0.8896175218272238,0.13848653859464222,0.12547383441553042
16,val,1.6059716253521594,0.13705155588056453,0.8874040965251179,0.13705155588056453,0.12387260383443087
17,train,1.601909393977992,0.13413546597198003,0.8854928621297178,0.13413546597198003,0.11522541631210016
17,val,1.6432656699672659,0.1328590733115018,0.8831983814216324,0.1328590733115018,0.11450426463136189
18,train,1.5926040526557532,0.13865901159568783,0.8893769929789676,0.13865901159568783,0.127061872490557
18,val,1.6346108366517311,0.13685675029653738,0.8871269216388318,0.13685675029653738,0.1252147979636371
19,train,1.5937920713844909,0.14707922341700563,0.886659691461007,0.14707922341700563,0.14288896238829232
19,val,1.6340110330505575,0.1448800763504689,0.8839722654634941,0.1448800763504689,0.14028911186105802
+,test,1.5827180307279243,0.15117179034704809,0.8841970492440653,0.15117179034704809,0.14661860719829958
