epoch,type,loss,accuracy,precision,recall,f1,wer
0,train,2.621200257958829,0.45865282913583255,0.8563681052819468,0.16276856784293356,0.18856729157448465,86.36172052609372
0,val,2.646291206359863,0.4557742850094865,0.8612333753723856,0.16042142142142143,0.1886618874324672,91.71539040805403
1,train,1.7959723930802198,0.5637328748799605,0.07379636077026436,0.126982709076614,0.08034466098477744,103.2048906057807
1,val,1.8256461601257323,0.5561013640474965,0.07058912985241186,0.12185652318985653,0.07700174137241846,109.87311322060732
2,train,1.5356796590616926,0.606074519532065,0.09525408212088646,0.13652030566582915,0.0997518247107276,103.21421962790865
2,val,1.5751988585789998,0.5959995249131291,0.09092753427426174,0.13059926593259927,0.09526034188219545,109.88533392581216
3,train,1.4190319666899034,0.629898567931826,0.11863231899302625,0.14188675197715733,0.12274700385585274,103.2022461174539
3,val,1.4737306486765545,0.6178443846863665,0.11325597420739737,0.13538605271938606,0.11708485916457564,109.87385608988181
4,train,1.271230566247389,0.6699426384038506,0.9034041389520978,0.1509661976270317,0.13449517525407817,103.19806246961384
4,val,1.3392484175364177,0.6545387546024041,0.12240657941338841,0.14342676009342675,0.12781045982631223,109.87380494983495
5,train,1.2169165013135175,0.6869474644204624,0.1430606075507284,0.15473720606412353,0.1457273416267549,103.1794025547236
5,val,1.2933894511858621,0.6693699921732483,0.13524096075460917,0.14667667667667666,0.13782811121459576,109.85465177280987
6,train,1.0718229234278183,0.7243779285508121,0.9275212290678205,0.16361831147482941,0.15699887435715576,103.1238670846342
6,val,1.1596407286326091,0.7043162860388414,0.9255395896981111,0.15457824491157823,0.1480622344943607,109.85129039238116
7,train,1.0325716882795144,0.7345076202259843,0.9377757259420747,0.1655440800964277,0.16270005119700137,103.14136973518545
7,val,1.1293462493419648,0.711623792106858,0.15373866263973576,0.1559356022689356,0.1530284406779981,109.85862577245878
8,train,0.9459534323799416,0.7550062030800083,0.9431115710206438,0.18000098169243692,0.18761569829401337,103.07692882385663
8,val,1.041458688100179,0.7286949424566255,0.939066102756857,0.16981915248581916,0.1777263727468708,109.79775211581222
9,train,0.8914054407155025,0.7667204988975902,0.944376024627132,0.17630983481085552,0.1770699981149042,103.09754845114159
9,val,1.002741265376409,0.7394178967660593,0.9403946543832239,0.1655875875875876,0.16644752252705555,109.82889156133608
10,train,0.817867464560026,0.7833328303725606,0.9471911585456892,0.18249382991290253,0.18557812070664714,103.10024069628088
10,val,0.9346526800791423,0.7533583464540552,0.9423335507369176,0.17105472138805472,0.17421770253642616,109.80686639392565
11,train,0.7711528873530995,0.7945687271827834,0.9508136069285182,0.21543670070937496,0.24665342884850083,97.76375393218387
11,val,0.9065762246449789,0.7636549407511855,0.9456457253002731,0.20009075742409077,0.2284316155472545,104.99740762032394
12,train,0.7341570718681284,0.8020285302801208,0.9524970338164295,0.23624566115088133,0.282355805716432,93.37577134885753
12,val,0.8802355473041534,0.768664670895752,0.9467044482556191,0.21999165832499165,0.26328993900151837,100.52595424321504
13,train,0.6914997723044176,0.8121887698795245,0.9544719236318561,0.3259282696436386,0.4222231563161739,68.8335158264927
13,val,0.8492860320409139,0.7763467646888638,0.9480249306642283,0.30785552218885553,0.4022605928150996,76.35311184615196
14,train,0.6636819577403801,0.8180324952155471,0.956355130756483,0.6972622749817268,0.7997618238723438,12.650572503593661
14,val,0.8385353897412618,0.7798672802190272,0.9495574933270081,0.6933687020353687,0.7954085738750695,14.139148309264685
15,train,0.6298692772603758,0.826313944905245,0.958854670194788,0.8406444606502933,0.8942825353912349,5.842857151017381
15,val,0.8162313487529754,0.7855150276677194,0.9512412744844968,0.8373466800133467,0.8892464074928447,6.643687739686201
16,train,0.6054886948939205,0.8324270473913091,0.9604151963695535,0.8809271713908634,0.9181541807318317,3.178086804758799
16,val,0.79686463534832,0.7890736110561242,0.9521510692079659,0.8757374040707374,0.9115801938479424,3.526536120740847
17,train,0.5867671744102877,0.836483811729255,0.9615983944178444,0.9455736201143026,0.9533213177610927,1.1872317139510953
17,val,0.7985896693865459,0.7910698895423025,0.952753140202575,0.9365331998665332,0.9443278248227405,1.3969249492486804
18,train,0.583915640119313,0.8382728092556138,0.962085131454139,0.9554525570856863,0.9586172816002503,0.9731226066313171
18,val,0.8007362623214722,0.7916850661314834,0.952957475608125,0.9459913246579913,0.949268331656,1.1180810101855811
19,train,0.5833581491326618,0.8385432972392638,0.9621672017768732,0.9557747974195918,0.9588264565233449,0.9530076997534475
19,val,0.7985791832605997,0.791593703271704,0.9529642884592032,0.9462629295962629,0.9494148732055391,1.0983181963173225
+,test,0.7675233453987761,0.7994329307361122,0.9539354470183476,0.9471644253383673,0.9503582458263283,1.1061430581293714
