epoch,type,loss,accuracy,precision,recall,f1
0,train,2.845077517057903,0.8687865232476284,0.8749208176108053,0.8687865232476284,0.866433551781489
0,val,2.8267211936138295,0.8686336319746992,0.8745450007004487,0.8686336319746992,0.8663520522287661
1,train,2.333066030872666,0.839912856274384,0.8748985038180039,0.839912856274384,0.8491954255572242
1,val,2.3153106885612327,0.8396882132380973,0.8742442555576274,0.8396882132380973,0.8488143650858488
2,train,2.0839546038031656,0.5997099327809294,0.8639872749293118,0.5997099327809293,0.6839100328503991
2,val,2.0631485083115795,0.6011414132063784,0.8638866520365679,0.6011414132063784,0.6850212821816916
3,train,1.9222364448173856,0.1232455220525803,0.8623541783341097,0.1232455220525803,0.08932474564550334
3,val,1.9074199458278676,0.12274554965970279,0.08600799601507916,0.12274554965970279,0.08884688191798677
4,train,1.805005480036031,0.12711394187659616,0.09046129917992642,0.12711394187659616,0.09357649915301869
4,val,1.8021801785817222,0.12627178056412394,0.08990415477148367,0.12627178056412394,0.09287108677654989
5,train,1.7326501316191583,0.12970194119228995,0.09354718312447073,0.12970194119228995,0.09775794151122483
5,val,1.7263341240151218,0.1286457156526762,0.09291344923739406,0.1286457156526762,0.09702839448255939
6,train,1.6639155245443462,0.13217989756801785,0.8735896652902246,0.13217989756801785,0.10174229342548335
6,val,1.6638625516462577,0.13111288285302206,0.0966248071380048,0.13111288285302206,0.10072388448814712
7,train,1.6160118555572351,0.13412074156834325,0.8772753475104849,0.13412074156834325,0.10605030398008515
7,val,1.6176835375803489,0.1331487271162445,0.10077629208542659,0.1331487271162445,0.10526532250395751
8,train,1.5739042998308217,0.13539224752048876,0.8771365570172213,0.13539224752048876,0.1066566738473403
8,val,1.5913357545459081,0.13437401604454968,0.8774213100649763,0.13437401604454968,0.10616545220403921
9,train,1.5373765045518983,0.13675140636452873,0.8802571630024834,0.13675140636452873,0.10957356963491807
9,val,1.5548282245164196,0.13566931200341872,0.8804514195798874,0.13566931200341872,0.10899568726745767
10,train,1.506891170367253,0.14634674439164538,0.8813822938226915,0.14634674439164538,0.12750032777918335
10,val,1.5207334468289027,0.14431899582711646,0.8810740444456185,0.14431899582711646,0.12502790331081742
11,train,1.4780884755811128,0.15483497746773367,0.8781716017762018,0.15483497746773367,0.14089093398370087
11,val,1.4858079768677868,0.15443584121078321,0.8780325178697024,0.15443584121078321,0.14180251074990982
12,train,1.4533751549272051,0.18865978894145574,0.8830309158386436,0.18865978894145574,0.2044828901583484
12,val,1.4711243256374642,0.1918195955318925,0.8823623093359566,0.1918195955318925,0.21133424937850917
13,train,1.4320485728161472,0.22857610323437513,0.8818384067581356,0.22857610323437513,0.2717697067704469
13,val,1.4506453439672158,0.2308082029659756,0.8811042633921108,0.2308082029659756,0.2762571043006731
14,train,1.4151821563265985,0.3746363379368101,0.8906456477746275,0.3746363379368101,0.4800137277999086
14,val,1.4301190376281738,0.3729722430418486,0.8896090512596109,0.3729722430418486,0.4783845110217891
15,train,1.3897455648486388,0.4420631384428916,0.8924714929644819,0.4420631384428916,0.5550799933187364
15,val,1.411050115470533,0.4402904727730714,0.8913615028426551,0.4402904727730714,0.5535106956072056
16,train,1.3647153644549128,0.4590341314722062,0.8962980028982456,0.4590341314722062,0.5756678937199153
16,val,1.377834549183568,0.45970066851737384,0.8954178561587615,0.45970066851737384,0.5765586118052429
17,train,1.3529421485481552,0.6460038449517366,0.8975403741149308,0.6460038449517365,0.7374596529529925
17,val,1.3621333760243874,0.6447139881014591,0.8963916523602298,0.6447139881014591,0.7362656423073324
18,train,1.3327480641676939,0.7169135418244854,0.9063794209830147,0.7169135418244854,0.7938508828093067
18,val,1.3397002913964489,0.71520111427304,0.9052230260316116,0.71520111427304,0.7923237252353623
19,train,1.3217777159531596,0.7527479430387226,0.9045421126886191,0.7527479430387226,0.8146530825946582
19,val,1.356612134074408,0.7550055856320358,0.903521002900355,0.7550055856320358,0.81583403843057
+,test,1.3260819807885185,0.7525468495988535,0.9033356588490359,0.7525468495988535,0.8140518248553631
