epoch,type,loss,accuracy,precision,recall,f1,wer
0,train,33.79257299317425,0.08129751387830232,0.08122929296895273,0.08129751387830232,0.08048290985928289,0.06515292142646534
0,val,33.770373103544884,0.07725744091876187,0.07729471491282718,0.07725744091876187,0.0763359878390477,0.06607217214024681
1,train,5.214986305144822,0.3126927288114836,0.34819631465121414,0.3126927288114836,0.28924321424678096,0.34963440375127774
1,val,5.150067629887886,0.3180406533824438,0.34291478257812763,0.3180406533824438,0.2908950312751313,0.3518340475963998
2,train,2.7717346650611168,0.404374521319668,0.4600329047929612,0.404374521319668,0.3929661377826732,0.3821951170764322
2,val,2.7715368129543423,0.4140190684267118,0.4597962691303336,0.4140190684267118,0.4019768039915358,0.37718731203082784
3,train,2.44040900258006,0.46758682964189685,0.49564446931282935,0.46758682964189685,0.4372489787490977,0.4777484019684687
3,val,2.459828367245566,0.47160611745327263,0.505105579519455,0.47160611745327263,0.4430463720984082,0.47679413397074466
4,train,2.1962330674818475,0.5025325502625773,0.5484675566872289,0.5025325502625773,0.48908095410353397,13.305210692967915
4,val,2.207042248900404,0.4992707785225687,0.546600651194105,0.4992707785225687,0.48683835947252607,13.605000698686743
5,train,2.0349437052030654,0.5147264461858203,0.5653987551568801,0.5147264461858203,0.4996243974085708,13.355961022661202
5,val,2.0658673284594546,0.5092582530713092,0.5486148241381779,0.5092582530713092,0.49189975269243624,13.671746620007136
6,train,1.8408462163719717,0.5521617615070639,0.5787074739278131,0.5521617615070639,0.5407019207973394,12.693616023781145
6,val,1.897544849779188,0.5442408661435336,0.5708039522121573,0.5442408661435336,0.5326536105593572,12.908142357269474
7,train,1.6811728531141372,0.5858955869100694,0.5894336439778033,0.5858955869100694,0.5751007219600591,12.854481723727197
7,val,1.7528529119553025,0.5749568186497678,0.5811661793323215,0.5749568186497678,0.5633806132390698,13.183257969464028
8,train,1.6350341743978274,0.589746964321293,0.6011157466565932,0.589746964321293,0.5810554852106705,8.14864072418515
8,val,1.7293768188695318,0.5726690649950813,0.5888941164298874,0.5726690649950813,0.5637527297847262,9.212228469865423
9,train,1.636164394030617,0.5972998316507548,0.6212576866020659,0.5972998316507548,0.5910013313583921,1.7645877307822806
9,val,1.718000589418657,0.5800327720711034,0.5955856509219161,0.5800327720711034,0.5721106996754298,1.7039325627816726
10,train,1.5631952623079062,0.6084317198493082,0.6277464260951068,0.6084317198493082,0.6046358625781105,9.260229429200425
10,val,1.6522041445540399,0.5894082725172154,0.6118109163159758,0.5894082725172154,0.5852073213099902,9.82306847021166
11,train,1.5031023776799537,0.6212544120845878,0.6291576159325221,0.6212544120845878,0.6172105411590348,1.3087384916277913
11,val,1.6008632573270307,0.5979558921095376,0.6053879291985179,0.5979558921095376,0.5935782487341271,1.3164169072151615
12,train,1.420039413442949,0.6336877624173562,0.6410753857798686,0.6336877624173562,0.6284083482133969,1.0928794175766527
12,val,1.5511905466465605,0.6067222781450894,0.6112841460429923,0.6067222781450894,0.6006220622528796,1.1024752413247536
13,train,1.4051046290964941,0.6373910802318503,0.644749988105393,0.6373910802318503,0.6330059253909752,0.836572410844387
13,val,1.5605115346687357,0.6071040470362151,0.6137296644449728,0.6071040470362151,0.602738297303258,0.8394102068549486
14,train,1.3851510495234916,0.6437521592024523,0.6521830700175177,0.6437521592024523,0.6427408921525325,0.5282334295149118
14,val,1.5347196086473072,0.6127934044062135,0.6196506207326051,0.6127934044062135,0.611369929475651,0.5449792821296287
15,train,1.335128600766038,0.6523286484352294,0.6514599761398376,0.6523286484352294,0.6492060900650375,0.6645265040759682
15,val,1.508147566281643,0.6179208322847796,0.6163657689177331,0.6179208322847796,0.6143990074163108,0.6847636558509925
16,train,1.3207657362103846,0.6557358470562644,0.6513725751819258,0.6557358470562644,0.6500530217470263,0.98680290033268
16,val,1.4913795891496324,0.6211923200109812,0.6154407851017784,0.6211923200109812,0.6152409828677672,1.0277587304693363
17,train,1.3050789325183612,0.6583680176647894,0.6528884736376099,0.6583680176647894,0.6537680977969111,1.1761152627021563
17,val,1.4721375645435963,0.6226807897325616,0.6163403747675142,0.6226807897325616,0.6175888740597175,1.20835061749677
18,train,1.2958894554058455,0.6590936924783897,0.6517933409501178,0.6590936924783897,0.6536332623468765,1.0173320551976943
18,val,1.4801871899476986,0.6234557662830866,0.61526022861962,0.6234557662830866,0.6174307208093958,1.0482104414687534
19,train,1.3021730134724805,0.6594574438333178,0.6520436410789399,0.6594574438333178,0.6541722225690291,0.9689389773016366
19,val,1.4660053491285168,0.6237803413328453,0.6155145156358988,0.6237803413328453,0.6179439770889645,1.0030120565861143
+,test,1.4829348301150136,0.6234222370153832,0.6160525252803435,0.6234222370153832,0.6179536787273773,0.9867910084760433
